matlab_param,matlab_index,yaml_rate_key,reaction,scaling_group,value_at_published_pvec,reactants,products
k5_1f,3,C8_kon_Z_BHyAcACP,C8_FabZ_binding_BHyAcACP,,0.8714535418063999,C8_BHyAcACP + FabZ,C8_FabZ_BHyAcACP
k5_1f,4,C10_kon_Z_BHyAcACP,C10_FabZ_binding_BHyAcACP,,1.0952051268648,C10_BHyAcACP + FabZ,C10_FabZ_BHyAcACP
k5_1f,5,C12_kon_Z_BHyAcACP,C12_FabZ_binding_BHyAcACP,,0.58881996068,C12_BHyAcACP + FabZ,C12_FabZ_BHyAcACP
k5_1f,5,C12_kon_Z_BHyAcACP,C12_FabZ_binding_BHyAcACP_unsat,,0.58881996068,C12_BHyAcACP_unsat + FabZ,C12_FabZ_BHyAcACP_unsat
k5_1f,6,C14_kon_Z_BHyAcACP,C14_FabZ_binding_BHyAcACP,,0.16221989916734,C14_BHyAcACP + FabZ,C14_FabZ_BHyAcACP
k5_1f,6,C14_kon_Z_BHyAcACP,C14_FabZ_binding_BHyAcACP_unsat,,0.16221989916734,C14_BHyAcACP_unsat + FabZ,C14_FabZ_BHyAcACP_unsat
k5_1f,7,C16_kon_Z_BHyAcACP,C16_FabZ_binding_BHyAcACP,,0.309130479357,C16_BHyAcACP + FabZ,C16_FabZ_BHyAcACP
k5_1f,7,C16_kon_Z_BHyAcACP,C16_FabZ_binding_BHyAcACP_unsat,,0.309130479357,C16_BHyAcACP_unsat + FabZ,C16_FabZ_BHyAcACP_unsat
k5_1f,8,C18_kon_Z_BHyAcACP,C18_FabZ_binding_BHyAcACP,,0.309130479357,C18_BHyAcACP + FabZ,C18_FabZ_BHyAcACP
k5_1f,8,C18_kon_Z_BHyAcACP,C18_FabZ_binding_BHyAcACP_unsat,,0.309130479357,C18_BHyAcACP_unsat + FabZ,C18_FabZ_BHyAcACP_unsat
k5_1f,9,C20_kon_Z_BHyAcACP,C20_FabZ_binding_BHyAcACP,,0.309130479357,C20_BHyAcACP + FabZ,C20_FabZ_BHyAcACP
k5_1f,9,C20_kon_Z_BHyAcACP,C20_FabZ_binding_BHyAcACP_unsat,,0.309130479357,C20_BHyAcACP_unsat + FabZ,C20_FabZ_BHyAcACP_unsat
k5_1r,1,koff_Z_BHyAcACP,C4_FabZ_binding_BHyAcACP,a2,164.8695889904,C4_FabZ_BHyAcACP,C4_BHyAcACP
k5_1r,2,koff_Z_BHyAcACP,C6_FabZ_binding_BHyAcACP,a2,164.8695889904,C6_FabZ_BHyAcACP,C6_BHyAcACP
k5_1r,3,koff_Z_BHyAcACP,C8_FabZ_binding_BHyAcACP,a2,164.8695889904,C8_FabZ_BHyAcACP,C8_BHyAcACP
k5_1r,4,koff_Z_BHyAcACP,C10_FabZ_binding_BHyAcACP,a2,164.8695889904,C10_FabZ_BHyAcACP,C10_BHyAcACP
k5_1r,5,koff_Z_BHyAcACP,C12_FabZ_binding_BHyAcACP,a2,164.8695889904,C12_FabZ_BHyAcACP,C12_BHyAcACP
k5_1r,5,koff_Z_BHyAcACP,C12_FabZ_binding_BHyAcACP_unsat,a2,164.8695889904,C12_FabZ_BHyAcACP_unsat,C12_BHyAcACP_unsat
k5_1r,6,koff_Z_BHyAcACP,C14_FabZ_binding_BHyAcACP,a2,164.8695889904,C14_FabZ_BHyAcACP,C14_BHyAcACP
k5_1r,6,koff_Z_BHyAcACP,C14_FabZ_binding_BHyAcACP_unsat,a2,164.8695889904,C14_FabZ_BHyAcACP_unsat,C14_BHyAcACP_unsat
k5_1r,7,koff_Z_BHyAcACP,C16_FabZ_binding_BHyAcACP,a2,164.8695889904,C16_FabZ_BHyAcACP,C16_BHyAcACP
k5_1r,7,koff_Z_BHyAcACP,C16_FabZ_binding_BHyAcACP_unsat,a2,164.8695889904,C16_FabZ_BHyAcACP_unsat,C16_BHyAcACP_unsat
k5_1r,8,koff_Z_BHyAcACP,C18_FabZ_binding_BHyAcACP,a2,164.8695889904,C18_FabZ_BHyAcACP,C18_BHyAcACP
k5_1r,8,koff_Z_BHyAcACP,C18_FabZ_binding_BHyAcACP_unsat,a2,164.8695889904,C18_FabZ_BHyAcACP_unsat,C18_BHyAcACP_unsat
k5_1r,9,koff_Z_BHyAcACP,C20_FabZ_binding_BHyAcACP,a2,164.8695889904,C20_FabZ_BHyAcACP,C20_BHyAcACP
k5_1r,9,koff_Z_BHyAcACP,C20_FabZ_binding_BHyAcACP_unsat,a2,164.8695889904,C20_FabZ_BHyAcACP_unsat,C20_BHyAcACP_unsat
k5_2r,1,krvs_Z_dehyd,C4_FabZ_dehydration,c4,2376.25450763,C4_FabZ_EnAcACP,C4_FabZ_BHyAcACP
k5_2r,2,krvs_Z_dehyd,C6_FabZ_dehydration,c4,2376.25450763,C6_FabZ_EnAcACP,C6_FabZ_BHyAcACP
k5_2r,3,krvs_Z_dehyd,C8_FabZ_dehydration,c4,2376.25450763,C8_FabZ_EnAcACP,C8_FabZ_BHyAcACP
k5_2r,4,krvs_Z_dehyd,C10_FabZ_dehydration,c4,2376.25450763,C10_FabZ_EnAcACP,C10_FabZ_BHyAcACP
k5_2r,5,krvs_Z_dehyd,C12_FabZ_dehydration,c4,2376.25450763,C12_FabZ_EnAcACP,C12_FabZ_BHyAcACP
k5_2r,5,krvs_Z_dehyd,C12_FabZ_dehydration_unsat,c4,2376.25450763,C12_FabZ_EnAcACP_unsat,C12_FabZ_BHyAcACP_unsat
