FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C12_FA_unsat (uM),C14_FA_unsat (uM),C16_FA_unsat (uM),C18_FA_unsat (uM)
0.1,0.1,0.2,0.1,0.2,1.0,0.1,0.2,0.1,80.0,1.0,70.0,0.003022831607189605,0.005053211555745676,0.03580384494210925,0.00580436439008859,0.021257991074019426,0.0022626785579160733,6.249560490548305e-05,1.008769099220352e-07,0.012878279542689962,0.0006206513674952778,1.1668638766365296e-05,9.99686668400532e-08
0.2,0.2,0.2,0.2,0.2,2.0,0.2,0.2,0.2,80.0,2.0,80.0,0.005863807962404077,0.01111807541101457,0.09890811030093391,0.024955388538558495,0.1436974136674879,0.03666559941152197,0.003352416123590172,1.595419038376523e-05,0.1121170493765786,0.01771617830804989,0.0011390089556743946,3.824705141923666e-05
0.3,0.3,0.3,0.3,0.2,3.0,0.3,0.3,0.3,100.0,3.0,100.0,0.008195812825716823,0.015155621631568382,0.14219401856946257,0.03925784984283998,0.30539485225743507,0.17664979965596952,0.040099228227919455,0.0004569065431925432,0.3342863835167938,0.12234879268488268,0.018024113959030134,0.0014795841937343245
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.010944537328131767,0.018594683230044692,0.1739945298751983,0.05924995415219441,0.5308613437722451,0.5263621399565012,0.23493507616179785,0.00573556469029081,0.5219705534953729,0.3610759485886232,0.10009503359029795,0.016435429671510994
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.0077255234234424935,0.014401319261058716,0.13451990346028078,0.04238829958020275,0.33325190785642367,0.21980008856126687,0.07763424412619786,0.0015292482555984306,0.2608333789311994,0.10970849975056092,0.022299981399200964,0.0030071796951599756
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.00925226732365494,0.016559107130443184,0.15832965778727895,0.05832894385260395,0.5271627939423524,0.5798031118098703,0.36184761622241357,0.012522258930606184,0.3934424831880908,0.3082379597985297,0.10734901975441352,0.025916232232699822
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.011453921133400448,0.019547683808929614,0.18512860858010355,0.06284857590535553,0.6025668817515542,0.8067070301595962,0.6362535234916006,0.029930471585689285,0.6074305741628174,0.6414755979826198,0.29091736539233465,0.09198282628158876
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.1206677206806011,0.18117484790681626,1.5912583103153843,0.8218637781955974,6.7912694287104864,6.906944740733197,2.5475819821077708,0.055066015309829866,3.1038483006073427,3.0837516668139924,0.897642758470653,0.15088036621263706
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.025591030007262174,0.039840816195882506,0.3674446419652165,0.15552005984142878,1.5957705847169208,2.4021750172081973,1.8226015466592238,0.08660282221624127,1.1705171938318542,1.6791630216103512,0.8760853580327347,0.31428222406210643
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.013361655659071242,0.022036312093860255,0.20937986441587053,0.07951540811489761,0.8228829852491785,1.3156255414005544,1.432736104824073,0.10262617502560022,0.6910173643111831,0.99286813685197,0.6277730201769101,0.31601908827166747
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.0319375944303042,0.04929085299434989,0.4545569714128255,0.21270584072438764,2.2449390045004463,3.5918602113100575,3.0047380083001998,0.1601637234623089,1.3056907539483433,2.049114573323043,1.1670949617300157,0.47932747856479246
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.09583759011182731,0.14365972124848497,1.2902080588691376,0.7459760268112214,7.4301355754114695,11.264790681602326,8.259213100763166,0.4094878585765873,2.4369334384379098,4.080433058174761,2.262752772864107,0.9237157992799917
