C4_sat_frac,C6_sat_frac,C8_sat_frac,C10_sat_frac,C12_sat_frac,C14_sat_frac,C16_sat_frac,C18_sat_frac,C4_unsat_frac,C6_unsat_frac,C8_unsat_frac,C10_unsat_frac,C12_unsat_frac,C14_unsat_frac,C16_unsat_frac,C18_unsat_frac
8.072294506947034e-05,0.00012190763045984111,0.0010767014907034833,0.0008797318128258628,0.011192688425720783,0.05822385304868709,0.5655243000027858,0.3629000946437477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.248549215028952e-05,9.432482965295686e-05,0.0008342634673288835,0.0006820960356686196,0.00870824374659119,0.045160841061080446,0.5335370286656363,0.4109207167018913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.150847894746137e-05,0.00010795185970642113,0.0009534367362718884,0.0007796604555842832,0.009942679712334776,0.05293873512577903,0.5114727531787434,0.42373327445263287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.395766607641574e-05,9.676002688540528e-05,0.0008563488480229841,0.0006999775347260778,0.008919054734633374,0.04601812912123104,0.5427856492865303,0.4005601227818945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.649064831875093e-05,0.00013018378634168837,0.001147529636978283,0.0009372943264151934,0.011941059878898359,0.06243277185949706,0.5509625535233742,0.3723621163401765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.296820661378635e-05,9.496266367145849e-05,0.0008394827405382147,0.0006860064589528663,0.008759622884491357,0.04498192066467484,0.5387790689009143,0.405795967480143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.044908222773867e-05,0.00012156643941534613,0.0010732888521060371,0.0008764984319066593,0.011146052951495072,0.05785035572871567,0.5726754032629636,0.3561763852511698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.588720432625568e-05,9.928901557127534e-05,0.0008769723752200127,0.0007162387547341487,0.009143365656786733,0.0468707460001097,0.5258118431643547,0.41641565782889706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.020901303238401e-05,0.0001211058484992573,0.001069556503942623,0.000873997163058187,0.011124893411752143,0.05825165983220336,0.5223318226907763,0.40614675553673557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.94617664246105e-05,0.00012016504873097528,0.0010623493040976682,0.000867506143643983,0.011019411309500684,0.05595309581451478,0.5437808371927502,0.3871171734203372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
