C2_AcCoA,C3_MalCoA,ACP,NADPH,NADH,FabD,FabH,FabG,FabZ,FabI,TesA,FabF,FabA,FabB,total_production,mean_chain_length
517.0921547694134,490.1357185394072,10.070185361436671,956.2233572120857,1075.9639220505333,1.0295518342203838,1.0021832238035981,1.0220767305439777,1.0068112021755722,0.9975602543455646,10.270160366679491,0.9785062242852715,1.0057934692520711,0.9941036019568837,41.32467635020052,13.135136278291544
525.0990393960542,518.3561899046343,10.16555800952768,903.9910825823526,935.879109503303,1.0132904415120574,0.9687892956391848,1.0401288509241522,0.9825267650246796,0.9773575852979342,9.423889890842881,1.0258083956984556,0.9807590171826239,1.0954509006241437,41.34083158160157,13.371880797358461
484.55232388230996,534.1844656576418,9.389996818672023,961.5356600534418,1003.0627897421034,1.01025900737235,1.0617301136001596,0.9218535182901846,0.9069643216994925,0.9743084623135596,9.224406588838002,0.9953347424343656,1.0081544563113451,0.986601667462343,41.34485228834838,13.43169230929578
545.5502840832081,472.63759218425884,9.462931257320353,996.9128032764112,1098.8325673766365,1.046539399790111,0.9079808151268555,0.9769649236100907,1.0470235423931118,0.9933654256325334,8.96287126598385,1.0099169617477675,0.964042219193193,0.9871698218478728,38.255311987334046,13.389727886817173
466.98922574966764,484.9177028964438,10.699622003447711,974.6469966354223,1030.5579944524209,0.9423477605674688,1.081948140901187,1.102234445741615,1.0133997997952604,0.9893880980578422,11.087978023725714,1.1338717061891725,1.0747818342928799,0.984426307348957,42.58233810873393,13.110196110904704
483.4617994546195,523.5655460054969,10.146606855790477,996.2213580430798,1040.6692562050346,0.9376724027227434,0.8987505093239415,0.9885431793246376,0.9521321488940699,1.0053388621165567,10.338942358345115,0.9998895961973612,1.0141882671928293,0.9624972834034824,40.82751901585906,13.262994581636677
523.3762497028506,517.9735141453764,10.053173166476313,1004.1828989481462,989.9923664749923,1.008122661767191,0.9979495563358364,1.0159314815172247,1.0737487476817795,1.0709893493049896,10.80911824424941,0.9456462835718287,1.0225161631404347,0.9603102801158031,42.54159632529694,13.088222863867315
501.2263653456328,505.6674714109498,9.977962638693223,1044.828775018216,960.1018121931191,1.0026075395841123,0.9458513897734563,0.9918455116886629,1.03387472462847,1.0455885787279393,9.812981626658837,1.0797085814269647,0.9679340799416875,1.0522772451790114,40.40415028400758,13.370727419515092
550.0598145911314,529.0605296889614,10.178271249353058,1110.1912061725777,1057.168584743868,1.0081830081169854,1.041009161938738,0.9689210988603429,0.9687247768606356,1.0424779992668827,10.561259047502235,0.9484744239014151,0.9888409163841946,1.0620069731445552,43.17804675215518,13.129974867276523
504.7129798128116,472.79470677202255,9.422031630297276,1036.5889420063204,1032.6862472081016,1.07952164917526,0.9612983161711429,0.9252970567753437,1.0553283365255468,1.0258658032682704,9.777415686807423,0.9482629039090643,1.034513208211909,0.9549138596990246,39.44304936432745,13.187891285237198
484.17014774519436,463.0215541557224,9.500486334052301,929.7835726725585,997.4238407382398,0.9710345323220179,0.943346607609609,0.9429129123555173,1.0269513915008743,0.9698105748445047,9.368610750760697,1.0906287592781503,0.9025410964658251,1.1003340828759653,38.13427072171235,13.38977654703295
490.5609123691798,478.33731606807754,10.652254123603216,867.1527526348849,976.7332137588335,1.0375659380570383,0.9829987508925486,1.0841285138387344,1.0414437386198931,0.9469669247597051,10.423480255592342,1.0223496612700338,0.9864719701926772,1.0823907437468507,41.497163328385874,13.103758736515728
472.7213470595201,503.063602388401,10.075637610923582,995.2768915665343,912.6137385790444,1.0192223851870088,0.9794495648118106,0.9960469681560844,0.9699103123451996,0.988621821766766,9.852775687109073,0.949574481986659,0.9679106640058345,0.9845528668865398,41.385916958134395,13.193929427074726
468.0579958403348,480.0978306226224,10.425150436827018,1003.5694217628982,1007.7953114559502,1.1183281201170243,0.9032484933857292,0.9405595682249251,0.9721683256476835,1.0593079241748045,10.129952620511283,1.0050618672030691,0.9433005981989678,0.9172465900164793,40.09134336316304,13.17164375968953
515.7602872692058,487.8195460893827,9.697167996539363,941.9063347082712,965.4143617718125,0.9298906674250539,1.0227258071887524,0.9547967297915833,0.9588767924626845,1.0599598445465468,10.209472033704325,1.0709009890041488,1.03402043687197,0.948908579480918,40.35101515340401,13.260910687435082
514.5291453103201,475.6249970224925,10.688362690179652,1013.6016068601037,993.4072865809475,0.9726996440834126,0.8803687254327706,1.0436714309822217,0.9729470762481576,0.9270989231613112,10.295739909082855,0.9547948364484412,0.9616030575613246,0.9898653794077709,40.234139346012384,13.07375122851986
532.3639704860279,484.48927138512744,10.17263920265976,961.6530206065602,1033.5487692126708,0.9771604982983579,1.0588168656118497,0.9526425032481326,0.8843455819538175,0.9112926948533492,9.893624278027012,1.010832144735697,0.9480293511790341,0.9879112188381584,41.23309138813711,13.186464974659383
481.13485521850174,474.88031952517514,10.240622909625042,1020.1334866390819,1041.0001352851805,1.0660301448302067,0.9834967562548323,0.9687324084625237,1.0541883036112674,1.0837430113887188,8.845267836834276,1.1222583587707686,1.0500571299455235,1.0859242020349418,40.136246615131434,13.431271641492344
542.2276863110918,509.18665514364034,10.27436466885789,983.7240913514086,1035.9500484522957,0.9590040714582059,1.047650338965715,0.9441683199906592,0.9409775904389415,1.0712506752966104,9.405977031363628,0.9937099013324096,0.9060546566779564,0.9360974840662193,42.25770515928259,13.266608527767694
492.81530730478335,519.8722766995804,9.601495380313935,1019.8731295362319,1112.7532166102637,1.0828971499758167,0.969972090743933,0.937043488951236,1.0284856197145276,0.9686719096801163,10.282747234246798,0.9166464729394641,1.0516771366943263,0.9942700541587071,41.32034034386311,13.179952969195671
539.3602069711146,487.98885151204473,9.06713956829997,912.8402402947283,1058.2559264590075,1.0799054156567345,0.9603446466595063,1.0824530619829016,0.935089034806016,0.9961391168725563,10.973457996414071,0.9810879889677477,1.0533070641041375,0.9903567062378132,38.940245199293734,13.166923324162267
489.1803538204351,494.81835511323305,9.462598666457449,978.076656245035,962.6960912113649,1.0432806325446968,1.032587407071955,0.9929555220576615,1.0058403408010614,1.0024994423352351,9.982411282457242,0.9860867596313065,0.8977766065079695,1.0411003453363088,40.60857576968138,13.237592573670701
481.6129176914431,485.4741856872021,10.81526142869318,992.5701996763727,959.0849038226311,1.0218688020113493,0.970793012121354,0.983924654090855,0.9403824160675812,1.0551592458053647,10.689878249673836,0.974080747716275,0.9886013270015098,0.9883049092848316,41.964117034291874,13.02349390844117
506.24463428896667,513.2812803909047,10.650341985160242,928.7562637450035,1116.407536229449,0.9221910905531697,0.922619695949978,0.9699275186550348,0.9990060509362677,0.9756011821753436,8.811653248206065,1.0876701632549322,1.0143410574139071,0.9859852406265452,41.01995501876486,13.476888430409671
525.7863271217368,502.2264009684805,9.826539316011015,1094.1169129113366,966.8336920853542,1.009107475343917,0.9956461562163739,1.0356226442564875,0.9200151879812695,1.0295895075824735,10.745047812394128,1.0106463010711058,1.05088988360528,0.9990547294169897,40.916886485470656,13.173243263612237
504.0252394178836,539.8539225084553,9.849161836481928,972.9613293952239,997.7932328733418,0.928466417063082,0.9311465197140704,1.0030735663334716,0.9704039472364335,1.0136889107246172,9.432207517737465,1.0021142546101898,0.973472126316204,0.9768705481628244,40.987594382570435,13.42291296859691
485.3617793969166,472.61319908406165,10.518302938617927,1069.4985864504188,1087.242954387818,0.9818686805194247,0.9993546388916937,1.0146170778773786,1.032982037117051,1.0150315646075294,9.493255769064971,1.0280892379842124,0.9917096448998692,1.0275147792573756,41.16064820334262,13.207696181880266
