C4_sat_frac,C6_sat_frac,C8_sat_frac,C10_sat_frac,C12_sat_frac,C14_sat_frac,C16_sat_frac,C18_sat_frac,C20_sat_frac,C4_unsat_frac,C6_unsat_frac,C8_unsat_frac,C10_unsat_frac,C12_unsat_frac,C14_unsat_frac,C16_unsat_frac,C18_unsat_frac,C20_unsat_frac
0.004432703855431297,0.006579466983361041,0.055515465583856456,0.03386005188140926,0.24623623993763138,0.26530701623636926,0.14348637123600044,0.006108427589761647,0.00016580741984841682,0.0,0.0,0.0,0.0,0.07051572584489206,0.09979881618324499,0.04894815050440927,0.015632450805037765,0.003413305938746771
0.004887765060728864,0.007265802434279878,0.06097616084049837,0.03572785573276985,0.2496996262512935,0.2522931667993623,0.12323738767114116,0.0046534404767476535,0.0001108132180512599,0.0,0.0,0.0,0.0,0.08394024851586793,0.11065746848932612,0.04957526632769965,0.014244806933731478,0.0027301912485020313
0.004372608622539062,0.006505813427017171,0.05525509951721686,0.03198691666208623,0.23768938730326897,0.25566703567715626,0.1340044353692878,0.005533034873235589,0.00014683726415369228,0.0,0.0,0.0,0.0,0.08329137962994194,0.1126468991871873,0.053140180001811435,0.016320708212349856,0.003439664252747743
0.004204095386214027,0.00624812825363464,0.05292090242206421,0.03254108272017293,0.24063492156608293,0.2670021180423879,0.15122686747123223,0.00674220213841679,0.00019192420847515427,0.0,0.0,0.0,0.0,0.06730397681158952,0.09955620920437763,0.05071747267313342,0.016859915938096458,0.0038501831641221253
0.005294808870921909,0.007853005160547212,0.06535507915130445,0.03971742921930076,0.2691208733250191,0.2623057632093202,0.12195387198956867,0.004316310281098106,9.488781562174689e-05,0.0,0.0,0.0,0.0,0.07459684445181096,0.09551912084174068,0.040873967754121214,0.011047508163350392,0.001950529766274545
0.004727179576417643,0.007020065359644666,0.05914204408411249,0.03515082661181279,0.25189088493562783,0.26047805229324084,0.12969956514594136,0.0050100293742401615,0.0001224125491965589,0.0,0.0,0.0,0.0,0.07891237880434371,0.10418590909340335,0.04721381643559989,0.013754508404334117,0.0026923273320846124
0.004983623390244483,0.0074078151719785615,0.06216692658365687,0.03686095888718595,0.2576774337634054,0.25809765179493943,0.12389859423031636,0.004585838114644493,0.0001069943877071896,0.0,0.0,0.0,0.0,0.08015148340779174,0.10339651767474142,0.04546223195867557,0.012803050876911703,0.0024008797578007977
0.0051699478936333846,0.007664233425936627,0.06391897219606543,0.0387565818894664,0.26568975944269463,0.2622621538907941,0.12408390886599632,0.0045295073770495985,0.00010374854879724121,0.0,0.0,0.0,0.0,0.07508573182910834,0.09647093546997977,0.04225136344162886,0.011820633355448567,0.0021925223734007454
0.004677970363839802,0.006954150903527743,0.05868975980724551,0.03414256312286088,0.24595584821739178,0.25457059771681745,0.12644538108332398,0.0048844656998709495,0.0001199487224103,0.0,0.0,0.0,0.0,0.08449708576644445,0.11120173073239824,0.0503217904305869,0.01466014214263645,0.0028785652906454526
0.00424084423871394,0.006309848515960564,0.053638400507673226,0.03141952566013133,0.23496239799751353,0.257525664006242,0.1399424605362513,0.006009714346267282,0.00016629552471841234,0.0,0.0,0.0,0.0,0.0793937854556181,0.11108737483894421,0.05419809630232668,0.01729479957506325,0.003810792494576194
0.00440229619709089,0.00654552883207951,0.0554253635293137,0.03295068905609627,0.24227114924810061,0.26041362161510284,0.138060635065057,0.0057513591903366815,0.00015327343417498516,0.0,0.0,0.0,0.0,0.07685783561584275,0.10667223570039129,0.05117659002902071,0.015934170711086215,0.0033852517763063644
0.004630349872137413,0.006876641733635273,0.057916212168130775,0.03509338643155404,0.25155992787180886,0.26414246318760154,0.13632669671366576,0.005471229749869903,0.00013910089887367506,0.0,0.0,0.0,0.0,0.07311983321592554,0.10028721407292672,0.047170436132837244,0.014328132836946603,0.0029383751140865263
0.0045514993703939105,0.006767454666683242,0.05722380058077898,0.03267296399134608,0.2376311189616492,0.2493984325103676,0.12632690067718336,0.005006789072503285,0.00012644323750389923,0.0,0.0,0.0,0.0,0.08874359346821113,0.11815880780162162,0.05416691759135087,0.016018622621344746,0.0032066554490620324
0.0048794943549790555,0.007240328235252651,0.06069437031812133,0.03705823470533259,0.26022005639102924,0.26596771894912535,0.13200963904274213,0.005048371083202017,0.00012110659666365628,0.0,0.0,0.0,0.0,0.0719822310378758,0.0961035110786466,0.043582702777342115,0.012648517851933149,0.0024437175777543675
0.0042623607091470065,0.006342751569186726,0.05393466094156557,0.03231771746034945,0.24237572842528987,0.2652141149967832,0.14286601052686584,0.006034006231811731,0.00016371812214921534,0.0,0.0,0.0,0.0,0.07377026826478407,0.1032785829583556,0.050169324411507794,0.015840776652127055,0.003429978730076829
0.005011844955240287,0.007445838524848987,0.062415337963672816,0.03731545880628362,0.2600900652140444,0.25996069076292827,0.12452334588452568,0.004602149751993402,0.0001071678040653143,0.0,0.0,0.0,0.0,0.07807934939889491,0.10103461642954349,0.04451828153777207,0.01254536756111655,0.002350485405070352
0.004442570625665312,0.006592860635320444,0.0555523024245752,0.03440299014941148,0.24901203789872095,0.269222933911559,0.14666969742122765,0.006242260785914048,0.0001683081687322542,0.0,0.0,0.0,0.0,0.06642949496936369,0.09566868815304287,0.047213794078477894,0.015100312331998747,0.003281748445990371
0.004357184502817402,0.00648283355947805,0.054970205909799494,0.032745153345861026,0.24181510623456046,0.261390267628327,0.13932967310555142,0.005778664675193528,0.00015238466731927849,0.0,0.0,0.0,0.0,0.07617330956819363,0.10666334664060871,0.051064275717432425,0.015776640086847312,0.003300954358010197
0.005140561959548965,0.007625456333916523,0.06356085851211771,0.03899083614594803,0.26649214562882967,0.26480755675520656,0.1278291578417234,0.004737414913226838,0.00010966727970781548,0.0,0.0,0.0,0.0,0.07116079329384659,0.0938773824370576,0.041685037246765796,0.011785655536340183,0.0021974761157644526
0.004488572551947359,0.006675438667568959,0.05646665275972176,0.033873180829036384,0.24733610119445662,0.2636351087691585,0.13802780098040882,0.005640412175592452,0.00014703533944921662,0.0,0.0,0.0,0.0,0.07455671092218161,0.10243971987586295,0.048613044848630764,0.014964328509923536,0.003135892576061106
0.004499395488589324,0.006685112654869572,0.05646879511216273,0.03254763695183022,0.23630363083288541,0.24970717382611857,0.1292014862483377,0.005273479951723211,0.00013764944120581735,0.0,0.0,0.0,0.0,0.08619071383099093,0.1174529267513839,0.05523117532695684,0.016818144807958756,0.00348267877498701
