FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM),C20_FA (uM)
0.4,0.3,0.4,0.4,0.4,4.0,0.3,0.4,0.4,200.0,4.0,200.0,0.011924435455611579,0.019958841649611498,0.1832719843197454,0.13119466095153404,1.1654036334181543,1.1731407769711835,0.5268790694870217,0.012501471381215566,0.00013990899635836035
0.3,0.3,0.3,0.3,0.3,3.0,0.3,0.3,0.3,200.0,3.0,200.0,0.008147516338354777,0.014937768356690147,0.13605896298302675,0.09007446278573226,0.7026348189651761,0.4900365477809244,0.1891478861555298,0.0038386903091867835,3.640191065744905e-05
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.010129233884956654,0.017819358650103558,0.1665126146833362,0.11641451748912267,1.0369235511074044,1.1683358816134604,0.7490248049850665,0.02534755733200994,0.0004079430452720227
2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,700.0,20.0,700.0,0.13235713839396324,0.19849894483255787,1.7351987673557192,1.2737165358342335,10.506879575993608,10.9119794088162,4.019664615399914,0.08486751610225447,0.000927050438563148
0.5,0.5,0.5,0.5,0.5,5.0,0.5,0.5,0.5,300.0,5.0,200.0,0.012764329363651525,0.021466443388155003,0.19961124479021777,0.14309746264316636,1.3599195370606665,1.819946077184094,1.415488214716438,0.06270875691352452,0.0013602073685627897
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.028694975869835895,0.04450891255474961,0.4079096161136238,0.30479959140607366,3.1007453686977646,4.663505624336283,3.4435702899271234,0.1537926766898857,0.003636604763105556
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015227561092031276,0.02485408961249294,0.23295735001592813,0.1713177549870002,1.7586888742773803,2.797609291154136,2.9481731148138786,0.19342594573854086,0.006653771495118175
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03631063257030655,0.055873591814507226,0.5122915159546473,0.3852563262476275,4.026892963980736,6.4470760466262975,5.239714291811867,0.2611550398523783,0.007032771645124775
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.10443747206461561,0.1566262981046812,1.4038519490029517,1.0574412702046805,10.491687408707563,16.12847207025454,11.921339821496755,0.5753836427187764,0.015799796616818792
0.02,0.02,0.02,0.02,0.02,0.2,0.02,0.02,0.02,10.0,0.2,10.0,3.290511452763623e-05,6.131123808669105e-06,1.7288102828613447e-06,1.7797734577928e-08,1.4668729068988412e-09,1.6444089723954591e-12,6.707246090245342e-16,2.761683237670202e-13,8.383642716589565e-14
