FabD (uM),FabH (uM),FabG (uM),FabZ (uM),FabI (uM),TesA (uM),FabF (uM),FabA (uM),FabB (uM),C3_MalCoA (uM),ACP (uM),C2_AcCoA (uM),C4_FA (uM),C6_FA (uM),C8_FA (uM),C10_FA (uM),C12_FA (uM),C14_FA (uM),C16_FA (uM),C18_FA (uM)
0.4,0.5,0.4,0.4,0.5,4.0,0.5,0.4,0.4,200.0,4.0,200.0,0.010129034265596488,0.017819013528444023,0.16650891907214754,0.11641118211686055,1.0368803542148877,1.16826079248738,0.7490667679372848,0.026434881734888054
0.8,0.7,0.8,0.9,0.8,8.0,0.7,0.8,0.9,400.0,8.0,400.0,0.028694792148924023,0.044508680561685665,0.4079080674489471,0.3047970104534154,3.1007444406012055,4.663558538618419,3.443894709417119,0.15793307175531257
0.6,0.6,0.6,0.6,0.5,6.0,0.6,0.6,0.6,300.0,6.0,300.0,0.01739787616303073,0.028348944378376054,0.2628134034068232,0.1913940925632785,1.8738533596248974,2.6280101930648416,1.946724679967858,0.08451760017221645
1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,500.0,10.0,500.0,0.03631076079250164,0.05587387951669523,0.5122952532137487,0.38525792328798764,4.0269454981089545,6.447268159461165,5.240345171308489,0.26878476263780854
0.6,0.7,0.7,0.7,0.7,6.0,0.7,0.7,0.7,400.0,6.0,300.0,0.015227595106655396,0.02485410981483121,0.23295703640336657,0.17131455635034903,1.7586655800955393,2.797479033416914,2.9487383219012666,0.202182301479237
2.0,2.0,2.0,2.0,2.0,20.0,2.0,2.0,2.0,900.0,20.0,900.0,0.10443746479557908,0.15662644938470585,1.4038547866204698,1.0574413371594014,10.49173761391643,16.128872744406557,11.922672149957787,0.5914099255480882
0.04,0.03,0.04,0.04,0.03,0.4,0.03,0.04,0.04,20.0,0.4,20.0,0.0002499045945871468,0.00014174188545955198,0.0001723601880704473,8.756992998166955e-06,3.7992009582645316e-06,2.7619164832678783e-08,6.816365822819599e-11,4.428085579213915e-11
0.03,0.03,0.03,0.03,0.03,0.3,0.03,0.03,0.03,20.0,0.3,20.0,0.0001173897797792186,4.811146538371492e-05,3.556688474256273e-05,1.031989131460346e-06,2.4638541860205257e-07,8.809237297113157e-10,4.716736939711887e-11,1.3498035072794726e-10
0.01,0.01,0.01,0.01,0.01,0.1,0.01,0.01,0.01,7.0,0.1,7.0,2.7074529680177e-06,8.498572593545826e-08,2.963530542714355e-09,3.246461998633362e-12,2.7057519034804435e-14,2.6331220562796935e-18,2.717992180028606e-10,7.0271112374105504e-12
0.01,0.01,0.01,0.009,0.01,0.1,0.01,0.01,0.009,5.0,0.1,5.0,2.705951921534461e-06,7.867244804573883e-08,2.5650326516392786e-09,2.6316385605942525e-12,2.069951675220894e-14,1.855297902018455e-18,8.388751215254171e-17,2.4362715952043286e-16
